Drug Name,Side Effects,Age Category,Medical Condition
Dovato,"Nausea, headache, fatigue, diarrhea, insomnia, dizziness, abdominal pain",Adult,HIV-1 infection
Tivicay,"Nausea, headache, fatigue, diarrhea, insomnia, dizziness, abdominal pain",Adult,HIV-1 infection
abacavir/dolutegravir/lamivudine,"Nausea, headache, fatigue, diarrhea, abdominal pain",Adult,HIV-1 infection
Prezista,"Nausea, diarrhea, headache, fatigue, abdominal pain",Adult,HIV-1 infection
bictegravir/emtricitabine/tenofovir alafenamide,"Nausea, diarrhea, headache, fatigue, abdominal pain, dizziness",Adult,HIV-1 infection
cobicistat/elvitegravir/emtricitabine/tenofovir,"Nausea, diarrhea, headache, fatigue, abdominal pain",Adult,HIV-1 infection
Cabenuva,"Injection site reactions, fatigue, headache, nausea, musculoskeletal pain",Adult,HIV-1 infection
dolutegravir/lamivudine,"Nausea, headache, fatigue, diarrhea, insomnia, dizziness, abdominal pain",Adult,HIV-1 infection
emtricitabine/tenofovir alafenamide,"Nausea, diarrhea, headache, fatigue, abdominal pain, decreased bone mineral density",Adult,HIV-1 infection
Complera,"Nausea, diarrhea, headache, fatigue, insomnia, dizziness",Adult,HIV-1 infection
Reyataz,"Nausea, jaundice, fatigue, abdominal pain, diarrhea",Adult,HIV-1 infection
Epzicom,"Nausea, headache, fatigue, diarrhea, abdominal pain",Adult,HIV-1 infection
ritonavir,"Nausea, diarrhea, vomiting, abdominal pain, headache, fatigue",,
lamivudine,"Nausea, headache, fatigue",Adult,HIV-1 infection
tenofovir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Viread,"Nausea, diarrhea, fatigue",Adult,Chronic hepatitis B
dolutegravir,"Nausea, headache, fatigue",Adult,HIV-1 infection
Kaletra,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Epivir,"Nausea, headache, fatigue",Adult,HIV-1 infection
Intelence,"Nausea, dizziness, rash",Adult,HIV-1 infection
Sustiva,"Nausea, headache, fatigue",Adult,HIV-1 infection
abacavir,"Nausea, headache, fatigue",Adult,HIV-1 infection
efavirenz / emtricitabine / tenofovir,"Nausea, dizziness, diarrhea",Adult,HIV-1 infection
emtricitabine / tenofovir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
darunavir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
efavirenz,"Nausea, headache, fatigue",Adult,HIV-1 infection
Odefsey,"Nausea, diarrhea, headache",Adult,HIV-1 infection
raltegravir,"Nausea, diarrhea, headache",Adult,HIV-1 infection
abacavir / lamivudine,"Nausea, headache, fatigue",Adult,HIV-1 infection
Prezcobix,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Viramune,"Nausea, headache, fatigue",Adult,HIV-1 infection
Combivir,"Nausea, headache, fatigue",Adult,HIV-1 infection
Ziagen,"Nausea, headache, fatigue",Adult,HIV-1 infection
zidovudine,"Nausea, headache, fatigue",Adult,HIV-1 infection
atazanavir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
emtricitabine,"Nausea, headache, fatigue",Adult,HIV-1 infection
Emtriva,"Nausea, headache, fatigue",Adult,HIV-1 infection
Edurant,"Nausea, headache, insomnia",Adult,HIV-1 infection
Lexiva,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
nevirapine,"Nausea, rash, liver toxicity",Adult,HIV-1 infection
Retrovir,"Nausea, headache, fatigue",Adult,HIV-1 infection
Selzentry,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Juluca,"Nausea, headache, fatigue",Adult,HIV-1 infection
Symtuza,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Trizivir,"Nausea, headache, fatigue",Adult,HIV-1 infection
Epivir-HBV,"Nausea, headache, fatigue",Adult,Hepatitis B infection
etravirine,"Nausea, rash, headache",Adult,HIV-1 infection
Isentress HD,"Nausea, headache, fatigue",Adult,HIV-1 infection
lamivudine / tenofovir,"Nausea, headache, fatigue",Adult,HIV-1 infection
lopinavir / ritonavir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
maraviroc,"Nausea, cough, fever",Adult,HIV-1 infection
Tivicay PD,"Nausea, headache, fatigue",Pediatric,HIV-1 infection
Viramune XR,"Nausea, rash, liver toxicity",Adult,HIV-1 infection
AccessPak for HIV PEP Basic,"Nausea, diarrhea, fatigue",Adult,HIV post-exposure prophylaxis
Delstrigo,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
efavirenz / lamivudine / tenofovir,"Nausea, headache, fatigue",Adult,HIV-1 infection
emtricitabine / rilpivirine / tenofovir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
Evotaz,"Nausea, diarrhea, headache",Adult,HIV-1 infection
Fuzeon,"Injection site reactions, fatigue",Adult,HIV-1 infection
lamivudine / zidovudine,"Nausea, headache, fatigue",Adult,HIV-1 infection
Pifeltro,"Nausea, headache, fatigue",Adult,HIV-1 infection
Viracept,"Diarrhea, rash, liver toxicity",Adult,HIV-1 infection
abacavir / lamivudine / zidovudine,"Nausea, headache, fatigue",Adult,HIV-1 infection
Aptivus,"Diarrhea, nausea, liver toxicity",Adult,HIV-1 infection
Cimduo,"Nausea, headache, fatigue",Adult,HIV-1 infection
cobicistat / darunavir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
cobicistat,"Nausea, diarrhea, headache",Adult,HIV-1 infection
doravirine,"Headache, nausea, fatigue",Adult,HIV-1 infection
elvitegravir,"Nausea, diarrhea, headache",Adult,HIV-1 infection
enfuvirtide,"Injection site reactions, fatigue",Adult,HIV-1 infection
ibalizumab,"Diarrhea, nausea, headache",Adult,HIV-1 infection
immune globulin intravenous,"Fever, chills, rash",Adult,Immunodeficiency disorders
Invirase,"Diarrhea, nausea, liver toxicity",Adult,HIV-1 infection
nelfinavir,"Diarrhea, nausea, liver toxicity",Adult,HIV-1 infection
rilpivirine,"Depression, insomnia, headache",Adult,HIV-1 infection
Rukobia,"Nausea, fatigue, headache",Adult,HIV-1 infection
saquinavir,"Diarrhea, nausea, liver toxicity",Adult,HIV-1 infection
Symfi,"Diarrhea, headache, fatigue",Adult,HIV-1 infection
Symfi Lo,"Diarrhea, headache, fatigue",Adult,HIV-1 infection
Temixys,"Nausea, headache, fatigue",Adult,HIV-1 infection
Trogarzo,"Injection site reactions, fatigue",Adult,HIV-1 infection
Tybost,"Nausea, diarrhea, headache",Adult,HIV-1 infection
AccessPak for HIV PEP Expanded with Kaletra,"Diarrhea, nausea, liver toxicity",Adult,HIV post-exposure prophylaxis
AccessPak for HIV PEP Expanded with Viracept,"Diarrhea, rash, liver toxicity",Adult,HIV post-exposure prophylaxis
atazanavir / cobicistat,"Nausea, diarrhea, headache",Adult,HIV-1 infection
cabotegravir / rilpivirine,"Injection site reactions, headache",Adult,HIV-1 infection
cabotegravir,"Injection site reactions, fatigue",Adult,HIV-1 infection
cobicistat / darunavir / emtricitabine / tenofovir alafenamide,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
dolutegravir / rilpivirine,"Depression, insomnia, headache",Adult,HIV-1 infection
doravirine / lamivudine / tenofovir,"Nausea, headache, fatigue",Adult,HIV-1 infection
emtricitabine / lopinavir / ritonavir / tenofovir,"Nausea, diarrhea, fatigue",Adult,HIV-1 infection
emtricitabine / nelfinavir / tenofovir,"Diarrhea, headache, fatigue",Adult,HIV-1 infecti
emtricitabine / rilpivirine / tenofovir alafenamide,"Nausea, headache, fatigue",Adult,HIV-1 infection
fosamprenavir,"Nausea, diarrhea, headache",Adult,HIV-1 infection
fostemsavir,"Nausea, diarrhea, headache",Adult,HIV-1 infection
lamivudine / nevirapine / zidovudine,"Nausea, rash, headache",Adult,HIV-1 infection
tipranavir,"Nausea, vomiting, diarrhea",Adult,HIV medication
Triumeq PD,"Headache, fatigue, nausea",Pediatric,HIV medication
Vocabria,"Injection site reactions, rash",Adult,HIV medication
hydroxyzine,"Drowsiness, dry mouth, blurred vision",Adult,"Allergy relief, anxiety treatment"
levocetirizine,"Drowsiness, dry mouth, headache",Adult,Allergy relief
loratadine,"Headache, dry mouth, drowsiness",Adult,Allergy relief
Xyzal,"Drowsiness, dry mouth, headache",Adult,Allergy relief
doxylamine,"Drowsiness, dry mouth, blurred vision",Adult,"Sleep aid, allergy relief"
corticotropin,"Increased blood pressure, fluid retention, weight gain",Adult,Adrenal insufficiency treatment
Acthar,"Increased blood pressure, fluid retention, weight gain",Adult,Adrenal insufficiency treatment
chlorpheniramine/ibuprofen/phenylephrine,"Upset stomach, drowsiness, increased blood pressure",Adult,Cold and flu symptom relief
dexbrompheniramine,"Drowsiness, dry mouth, blurred vision",Adult,Allergy relief
Ala-Hist IR,"Drowsiness, dry mouth, blurred vision",Adult,Allergy relief
dexbrompheniramine/phenylephrine,"Drowsiness, increased blood pressure, dry mouth",Adult,Allergy relief
Equaline Sleep Aid,"Drowsiness, dry mouth, blurred vision",Adult,Sleep aid
Equate Sleep Aid,"Drowsiness, dry mouth, blurred vision",Adult,Sleep aid
H.P. Acthar Gel,"Increased blood pressure, fluid retention, weight gain",Adult,Adrenal insufficiency treatment
Aricept,"Nausea, vomiting, diarrhea",Adult,Alzheimer's disease treatment
donepezil,"Nausea, vomiting, diarrhea",Adult,Alzheimer's disease treatment
Namenda,"Dizziness, headache, constipation",Adult,Alzheimer's disease treatment
Memantine,"Nausea, dizziness, headache, constipation",Adults,Alzheimer's disease
Etanercept,"Injection site reactions, infections",Adults,"Rheumatoid arthritis, psoriatic arthritis, plaque psoriasis"
Exelon,"Nausea, vomiting, diarrhea, weight loss",Adults,"Alzheimer's disease, Parkinson's disease-related dementia"
Galantamine,"Nausea, vomiting, diarrhea, dizziness",Adults,Alzheimer's disease
Namenda XR,"Headache, dizziness, confusion, constipation",Adults,Alzheimer's disease
Rivastigmine,"Nausea, vomiting, diarrhea, weight loss",Adults,"Alzheimer's disease, Parkinson's disease-related dementia"
Aricept ODT,"Nausea, diarrhea, insomnia, muscle cramps",Adults,Alzheimer's disease
Namzaric,"Nausea, vomiting, headache, dizziness",Adults,Alzheimer's disease
Vitamin E,"Nausea, diarrhea, stomach cramps, fatigue",Adults,Dietary supplement
Donepezil / Memantine,"Nausea, diarrhea, headache, dizziness",Adults,Alzheimer's disease
Razadyne,"Nausea, vomiting, diarrhea, dizziness",Adults,Alzheimer's disease
Razadyne ER,"Nausea, vomiting, diarrhea, dizziness",Adults,Alzheimer's disease
Adlarity,"Insomnia, restlessness, headache, dry mouth",Adults,Cognitive enhancement
Hydergine,"Nausea, dizziness, headache, gastrointestinal disturbances",Adults,Cognitive enhancement
Alpha E,"Nausea, gastrointestinal disturbances",Adults,Dietary supplement
Ergoloid Mesylates,"Nausea, dizziness, headache, gastrointestinal disturbances",Adults,Cognitive enhancement
Aduhelm,"Amyloid-related imaging abnormalities (ARIA), headache, confusion, brain swelling",Adults,Alzheimer's disease
Aqua Gem-E,"Nausea, diarrhea, stomach cramps, fatigue",Adults,Vitamin E deficiency
Aquasol E,"Nausea, diarrhea, stomach cramps, fatigue",Adults,Vitamin E deficiency
E-400 Clear,No commonly reported side effects,Adult,Dietary supplement containing vitamin E
E-600,No commonly reported side effects,Adult,Dietary supplement containing vitamin E
E-Gems,No commonly reported side effects,Adult,Dietary supplement containing vitamin E
E Pherol,No commonly reported side effects,Adult,Dietary supplement containing vitamin E
aducanumab,"Headache, confusion, brain swelling",Adult,Treatment for Alzheimer's disease
aspirin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
nitroglycerin,"Headache, dizziness, low blood pressure",Adult,Treatment for angina (chest pain)
Ranexa,"Dizziness, constipation, nausea",Adult,Treatment for chronic angina
metoprolol,"Fatigue, dizziness, low heart rate",Adult,"Treatment for high blood pressure, heart conditions"
isosorbide mononitrate,"Headache, dizziness, flushing",Adult,Treatment for angina (chest pain)
amlodipine,"Swelling, dizziness, flushing",Adult,"Treatment for high blood pressure, chest pain"
Nitrostat,"Headache, dizziness, low blood pressure",Adult,Treatment for angina (chest pain)
ranolazine,"Dizziness, constipation, nausea",Adult,Treatment for chronic angina
enoxaparin,"Bleeding, bruising, allergic reactions",Adult,Prevention and treatment of blood clots
isosorbide dinitrate,"Headache, dizziness, flushing",Adult,Treatment for angina (chest pain)
atenolol,"Fatigue, dizziness, low heart rate",Adult,"Treatment for high blood pressure, heart conditions"
carvedilol,"Fatigue, dizziness, low blood pressure",Adult,"Treatment for high blood pressure, heart conditions"
Norvasc,"Swelling, dizziness, flushing",Adult,"Treatment for high blood pressure, chest pain"
Lopressor,"Fatigue, dizziness, low heart rate",Adult,"Treatment for high blood pressure, heart conditions"
Bayer Aspirin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Coreg,"Fatigue, dizziness, low blood pressure",Adult,"Treatment for high blood pressure, heart conditions"
Toprol-XL,"Dizziness, fatigue, low heart rate",Adult,"Treatment for high blood pressure, heart conditions"
amlodipine / atorvastatin,"Swelling, muscle pain, liver problems",Adult,Treatment for high blood pressure and high cholesterol
Ecotrin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
propranolol,"Fatigue, dizziness, low heart rate",Adult,"Treatment for high blood pressure, heart conditions"
Easprin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Nitrolingual Pumpspray,"Headache, dizziness, low blood pressure",Adult,Treatment for angina (chest pain)
verapamil,"Dizziness, constipation, low blood pressure",Adult,"Treatment for high blood pressure, heart conditions"
Bayer Aspirin Regimen,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Caduet,"Dizziness, muscle pain, liver problems",Adult,Treatment for high blood pressure and high cholesterol
Aspir-Low,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Katerzia,"Swelling, dizziness, irregular heartbeat",Adult,"Treatment for high blood pressure, heart conditions"
Lovenox,"Bleeding, bruising, allergic reactions",Adult,Prevention and treatment of blood clots
Norliqva,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Arthritis Pain,"Stomach irritation, bleeding, allergic reactions",Adult,Pain relief for arthritis and joint inflammation
Ascriptin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Aspergum,"Stomach irritation, allergic reactions",Adult,Relief of minor sore throat and cough due to cold or flu
Aspiritab,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Aspirtab,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Bayer Aspirin Extra Strength Plus,"Stomach irritation, bleeding, allergic reactions",Adult,"Extra strength pain relief, fever reduction, blood-thinning"
Ecpirin,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Entercote,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
Genacote,"Stomach irritation, bleeding, allergic reactions",Adult,"Pain relief, fever reduction, blood-thinning"
